\                                                                               
\fixlen = T
\RowsRetrieved =                79
\ORIGIN  = 'IPAC Infrared Science Archive (IRSA), Caltech/JPL'
\DATETIME= '2017-12-05 06:48:17'
\DataTag = 'ADS/IRSA.Gator#2017/1205/064817_26783'
\DATABASE= 'PTF Lightcurve Table (ptf_lightcurves)'
\EQUINOX = 'J2000'
\SKYAREA = 'within 5 arcsec of  ra=35.36232 dec=+25.24272 Eq J2000 '
\StatusFile = '/workspace/TMP_cGAPmO_22768/Gator/irsa/26783/log.26783.html'
\SQL     = 'WHERE (no constraints) 
\SQL     = 'SELECT (39 column names follow in next row.)'
\ 
\ obsmjd (days) 
\ ___ Observation MJD plus one half of the exposure time
\ mag_autocorr (mag) 
\ ___ Calibrated SExtractor MAG_AUTO with relative photometric correction applied
\ magerr_auto (mag) 
\ ___ Calibrated SExtractor MAGERR_AUTO
\ oid 
\ ___ Unique object identifier
\ ra (degrees) 
\ ___ Object Right Ascension
\ dec (degrees) 
\ ___ Object Declination
\ clon 
\ ___ Right ascention in Sexagesimal format.
\ clat 
\ ___ Declination in Sexagesimal format.
\ fid 
\ ___ Filter identifier (1 = g; 2 = R)
\ transient_flag 
\ ___ Flag = 1 if epochal detections are transient and not detected in reference image
\ astrometricrms (degrees) 
\ ___ Root Mean Squared deviation in epochal positions relative to object RA,Dec
\ nobs 
\ ___ Total number of epochal detections (observation epochs) in the lightcurve
\ ngoodobs 
\ ___ Number of epochal detections that were not flagged or masked due to bad pixels
\ nbestobs 
\ ___ Number of "clean" epochal detections used to compute relative phot. corrections
\ referencemag (mag) 
\ ___ Object magnitude from reference image (co-add) if detected (not transient)
\ referencemagerr (mag) 
\ ___ Error in referenceMag
\ medianmag (mag) 
\ ___ Median magnitude over nobs detections
\ bestmedianmag (mag) 
\ ___ Same as medianMag, but using only nbestobs epochal detections
\ meanmag (mag) 
\ ___ Mean magnitude over nobs detections
\ bestmeanmag (mag) 
\ ___ Same as meanMag, but using only nbestobs epochal detections
\ magrms (mag) 
\ ___ Root Mean Squared deviation in nobs magnitudes
\ bestmagrms (mag) 
\ ___ Same as magRMS, but using only nbestobs epochal detections
\ sid 
\ ___ Source database ID (= procimage database ID x1000000 + SExtractor NUMBER)
\ s_ra (degrees) 
\ ___ R.A. of source at observation epoch (SExtractor ALPHAWIN_J2000)
\ s_dec (degrees) 
\ ___ Dec. of source at observation epoch (SExtractor DELTAWIN_J2000)
\ ptffield 
\ ___ PTF field number
\ ccdid 
\ ___ CCD ID
\ hmjd (days) 
\ ___ Helocentric MJD plus one half of the exposure time
\ nid 
\ ___ Night database ID
\ mag_auto (mag) 
\ ___ Calibrated SExtractor MAG_AUTO
\ limitmag (mag) 
\ ___ Limiting magnitude
\ absphotzp (mag) 
\ ___ Absolute photometric zeropoint
\ fwhmsex (arcsec) 
\ ___ SExtractor FWHM
\ fwhm_image (pixels) 
\ ___ SExtractor FWHM_IMAGE
\ qaflags 
\ ___ Source QA flags [bit flags]
\ flags 
\ ___ SExtractor IMAFLAGS_ISO (upper 16 bits) & FLAGS (lower 16 bits) [bit flags]
\ photcalflag (0=No, 1=Yes) 
\ ___ Flag indicating source is photometrically calibrated [0=NO, 1=YES]
\ goodflag (0=No, 1=Yes) 
\ ___ Flag indicating source is good [0=NO, 1=YES]
\ pid 
\ ___ Processed-image database ID
\ dist (arcsec) 
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg) 
\ ___ Position Angle in degree.
\ 
|           obsmjd| mag_autocorr| magerr_auto|                  oid|          ra|         dec|          clon|          clat|   fid| transient_flag| astrometricrms|       nobs|   ngoodobs|   nbestobs| referencemag| referencemagerr| medianmag| bestmedianmag| meanmag| bestmeanmag|  magrms| bestmagrms|                  sid|        s_ra|       s_dec|   ptffield| ccdid|             hmjd|        nid| mag_auto| limitmag| absphotzp| fwhmsex| fwhm_image|    qaflags|      flags| photcalflag|    goodflag|        pid|           dist|       angle|
|           double|       double|      double|                 long|      double|      double|          char|          char|  long|            int|         double|        int|        int|        int|       double|          double|    double|        double|  double|      double|  double|     double|                 long|      double|      double|        int|   int|           double|        int|   double|   double|    double|  double|     double|        int|        int|         int|         int|        int|         double|      double|
|             days|          mag|         mag|                     |     degrees|     degrees|              |              |      |               |        degrees|           |           |           |          mag|             mag|       mag|           mag|     mag|         mag|     mag|        mag|                     |     degrees|     degrees|           |      |             days|           |      mag|      mag|       mag|  arcsec|     pixels|           |           | 0=No, 1=Yes| 0=No, 1=Yes|           |         arcsec|         deg|
|             null|         null|        null|                 null|        null|        null|          null|          null|  null|           null|           null|       null|       null|       null|         null|            null|      null|          null|    null|        null|    null|       null|                 null|        null|        null|       null|  null|             null|       null|     null|     null|      null|    null|       null|       null|       null|        null|        null|       null|           null|        null|
   55456.245507200        19.493        0.081        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        12937317002158   35.3623500   25.2426950        3831      8   55456.249297200         551    19.482    21.021     27.892    2.150       2.476           0      131072            0            1    12937317        0.089504   161.263523 
   55379.468137200        19.296        0.077        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        15096208001863   35.3622770   25.2427170        3831      8   55379.465147200         478    19.294    20.629     27.940    2.950       3.180           0      131072            0            1    15096208        0.089504   161.263523 
   55495.397337200        19.847        0.129        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        16695491001528   35.3622670   25.2427250        3831      8   55495.402927200         590    19.825    20.372     27.914    2.550       2.887           0      131072            0            1    16695491        0.089504   161.263523 
   56576.360427200        19.764        0.069        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        17688104002755   35.3622920   25.2427050        3831      8   56576.365607200        1650    19.759    21.696     27.933    2.050       2.148           0      131072            0            1    17688104        0.089504   161.263523 
   56576.420097200        19.905        0.073        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        17688149002673   35.3623110   25.2426920        3831      8   56576.425267200        1650    19.907    21.589     27.936    2.250       2.661           0      131072            0            1    17688149        0.089504   161.263523 
   56576.457757200        19.707        0.069        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        17688182002617   35.3623190   25.2426640        3831      8   56576.462937200        1650    19.714    21.492     27.934    2.350       2.970           0      131072            0            1    17688182        0.089504   161.263523 
   56545.281007200        19.850        0.147        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        18261498002103   35.3623950   25.2426660        3831      8   56545.284287200        1619    19.969    21.184     27.656    2.150       2.231           0      131072            0            1    18261498        0.089504   161.263523 
   56545.404287200        20.017        0.087        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        18261575002808   35.3623460   25.2426910        3831      8   56545.407577200        1619    20.058    21.852     27.905    1.850       3.060           0      131072            0            1    18261575        0.089504   161.263523 
   56562.408927200        19.982        0.099        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        18316809002315   35.3623550   25.2426750        3831      8   56562.413397200        1636    19.981    21.316     27.938    2.450       3.293           0      131072            0            1    18316809        0.089504   161.263523 
   56562.452607200        19.938        0.087        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        18316837002350   35.3623370   25.2427030        3831      8   56562.457077200        1636    19.918    21.287     27.920    2.450       2.648           0      131072            0            1    18316837        0.089504   161.263523 
   56562.485367200        20.117        0.110        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        18316855002177   35.3623280   25.2427050        3831      8   56562.489847200        1636    20.102    21.129     27.916    2.750       3.723           0      131072            0            1    18316855        0.089504   161.263523 
   56626.172647200        19.785        0.075        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        18453723002473   35.3623270   25.2427310        3831      8   56626.177757200        1700    19.789    21.365     27.936    2.550       2.781           0      131072            0            1    18453723        0.089504   161.263523 
   56675.181537200        20.157        0.233        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        18926013001457   35.3622540   25.2426890        3831      8   56675.182947200        1747    20.312    20.649     27.783    1.850       3.058           0      131088            0            1    18926013        0.089504   161.263523 
   56675.227777200        20.444        0.237        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        18926077001847   35.3623200   25.2426320        3831      8   56675.229177200        1747    20.218    20.628     27.649    2.050       2.225           0           0            0            1    18926077        0.089504   161.263523 
   56676.140757200        20.001        0.112        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        18950717002554   35.3623210   25.2427220        3831      8   56676.142067200        1748    20.041    21.628     27.979    1.850       2.148           0      131072            0            1    18950717        0.089504   161.263523 
   56676.188377200        20.254        0.141        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        18950772002132   35.3623450   25.2427320        3831      8   56676.189687200        1748    20.260    21.188     27.937    1.950       2.264           0      131072            0            1    18950772        0.089504   161.263523 
   56676.230247200        19.993        0.130        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        18950829001996   35.3623900   25.2426760        3831      8   56676.231547200        1748    19.962    20.998     27.888    1.950       2.518           0      131072            0            1    18950829        0.089504   161.263523 
   56676.096327200        20.056        0.137        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        18950887002392   35.3623680   25.2427550        3831      8   56676.097647200        1748    20.125    21.367     28.011    2.250       2.599           0      131072            0            1    18950887        0.089504   161.263523 
   55579.208717200        19.660        0.112        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235         9782925001657   35.3621760   25.2427170        3831      8   55579.210137200         678    19.671    20.549     27.930    2.250       2.608           0      131072            0            1     9782925        0.089504   161.263523 
   55579.268927200        19.522        0.142        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235         9782985001495   35.3622700   25.2425970        3831      8   55579.270347200         678    19.536    20.372     27.894    2.250       2.473           0      131072            0            1     9782985        0.089504   161.263523 
   55501.381527200        19.530        0.077        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10718613002371   35.3623290   25.2426880        3831      8   55501.387187200         596    19.517    21.228     27.933    2.750       5.009           0      131072            0            1    10718613        0.089504   161.263523 
   55501.121357200        19.606        0.082        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10718764002227   35.3623070   25.2427440        3831      8   55501.127007200         596    19.565    21.013     27.846    2.550       3.137           0      131072            0            1    10718764        0.089504   161.263523 
   55501.466657200        19.745        0.103        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10718777001865   35.3623340   25.2426870        3831      8   55501.472317200         596    19.738    20.806     27.879    3.150       5.984           0      131072            0            1    10718777        0.089504   161.263523 
   55501.295517200        19.650        0.069        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10718822002646   35.3622120   25.2426650        3831      8   55501.301177200         596    19.639    21.495     27.947    2.350       2.733           0      131072            0            1    10718822        0.089504   161.263523 
   55501.208857200        19.487        0.088        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10718862002031   35.3622810   25.2426300        3831      8   55501.214517200         596    19.506    21.078     27.928    3.250       4.385           0      131072            0            1    10718862        0.089504   161.263523 
   55502.196667200        19.611        0.076        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10723100002248   35.3622450   25.2426390        3831      8   55502.202327200         597    19.587    21.195     27.910    2.650       2.797           0      131072            0            1    10723100        0.089504   161.263523 
   55502.382047200        19.597        0.075        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10723126002387   35.3622900   25.2427070        3831      8   55502.387717200         597    19.599    21.274     27.944    2.750       3.545           0      131072            0            1    10723126        0.089504   161.263523 
   55502.300867200        19.575        0.079        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10723188002220   35.3622830   25.2426780        3831      8   55502.306537200         597    19.592    21.201     27.956    3.050       3.635           0      131072            0            1    10723188        0.089504   161.263523 
