 55483.438467200 19.335       0.066       
 55483.388857200 19.393       0.066       
 55443.457747200 19.360       0.067       
 55443.412087200 19.226       0.066       
 55446.446747200 19.264       0.060       
 55446.490057200 19.298       0.063       
 55452.506497200 19.347       0.064       
 55452.456787200 19.272       0.060       
 55459.367277200 19.465       0.102       
 55459.412207200 19.586       0.099       
 55468.495947200 19.550       0.173       
 55427.489857200 19.292       0.056       
 55108.299667200 19.184       0.149       
 55127.454247200 19.053       0.062       
 55088.481697200 18.991       0.052       
 55088.437787200 19.014       0.052       
 55053.505547200 19.271       0.099       
 55067.423597200 19.015       0.078       
 55067.502827200 18.892       0.061       
 55058.481167200 19.024       0.058       
 55058.473347200 18.987       0.062       
 55486.371397200 19.372       0.095       
 55486.327917200 19.536       0.089       
 55498.227497200 19.359       0.226       
 55498.284017200 19.344       0.217       
 55480.477577200 19.411       0.067       
 55480.521277200 19.511       0.106       
 55456.319467200 19.171       0.073       
 55379.468137200 19.105       0.097       
 56576.360427200 19.227       0.058       
 56576.420097200 19.228       0.064       
 56576.457757200 19.155       0.062       
 56545.281007200 19.182       0.117       
 56545.404287200 19.074       0.085       
 56562.408927200 19.209       0.066       
 56562.452607200 19.232       0.064       
 56562.485367200 19.131       0.080       
 56626.172647200 19.156       0.071       
 56675.181537200 19.820       0.221       
 56675.227777200 19.193       0.198       
 56675.271987200 19.317       0.217       
 56676.140757200 19.218       0.099       
 56676.188377200 19.181       0.110       
 56676.230247200 19.122       0.125       
 56676.096327200 19.172       0.100       
 56676.272647200 19.675       0.174       
 55579.208717200 19.402       0.134       
 55579.268927200 19.360       0.136       
 55501.381527200 19.812       0.090       
 55501.121357200 19.429       0.089       
 55501.466657200 19.501       0.106       
 55501.295517200 19.370       0.079       
 55501.208857200 19.536       0.087       
 55502.196667200 19.674       0.091       
 55502.382047200 19.609       0.083       
 55502.300867200 19.352       0.075       
 55502.108427200 19.908       0.177       
 55503.095917200 19.238       0.130       
 55503.428117200 19.246       0.089       
 55503.340357200 19.314       0.071       
 55503.522947200 19.304       0.133       
 55503.177257200 19.776       0.099       
 55503.259377200 19.562       0.084       
 55504.434347200 19.306       0.091       
 55504.177967200 19.222       0.082       
 55504.092657200 19.325       0.105       
 55504.517207200 19.428       0.107       
 55504.258717200 19.425       0.074       
 55508.129067200 19.268       0.271       
 55508.212237200 19.217       0.263       
 55507.252827200 19.311       0.086       
 55507.417657200 19.387       0.071       
 55507.504307200 19.454       0.117       
 55506.431647200 19.450       0.078       
 55506.094197200 19.415       0.109       
 55506.257757200 19.288       0.071       
 55506.347627200 19.317       0.075       
 55505.390347200 19.337       0.089       
 55505.108537200 19.244       0.094       
 55505.196227200 19.431       0.094       
 55505.470927200 19.561       0.100       
 55505.277577200 19.344       0.096       
