col1,col2,_r,USNO-B1.0,Tycho-2,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Epoch,pmRA,pmDE,muPr,e_pmRA,e_pmDE,fit_RA,fit_DE,Ndet,Flags,B1mag,B1C,B1S,B1f,B1s/g,B1xi,B1eta,R1mag,R1C,R1S,R1f,R1s/g,R1xi,R1eta,B2mag,B2C,B2S,B2f,B2s/g,B2xi,B2eta,R2mag,R2C,R2S,R2f,R2s/g,R2xi,R2eta,Imag,IC,IS,If,Is/g,Ixi,Ieta,Separation
0.325125,-7.77416666667,4.1E-5,0822-0000261,,0.325092,-7.774142,107,115,1976.1,0,0,0,0,0,2,2,5,..Y,16.45,2,0,645,4,-0.32,-0.04,15.66,2,1,645,2,-0.01,-0.36,18.14,1,4,751,8,0.12,0.1,17.19,1,5,751,5,0.24,0.05,17.23,1,8,751,,-0.06,0.24,4.095752088416298E-5
0.384875,21.22675,8.4E-5,1112-0000422,,0.384842,21.226828,202,71,1977.5,2,8,9,6,2,2,1,5,..Y,18.81,1,0,405,7,-0.29,-0.03,19.08,1,1,405,3,0.28,0.02,19.02,1,2,538,3,-0.04,-0.12,18.47,1,3,538,3,-0.03,0.07,18.42,1,7,538,,0.06,0.03,8.384655881124741E-5
1.14858333333,-47.6054444444,8.0E-5,0423-0000868,,1.148523,-47.605375,86,54,1990.3,0,0,0,0,0,1,1,4,...,,,,,,,,18.28,5,5,193,1,0.06,0.09,19.07,4,4,292,1,-0.13,-0.1,15.88,4,6,241,3,0.16,0.05,16.68,4,8,241,,-0.11,-0.06,8.048155975315685E-5
1.48825,38.3375277778,7.1E-5,1283-0002371,,1.488212,38.337592,46,79,1976.3,0,0,0,0,0,1,1,5,..Y,18.84,2,0,241,10,-0.11,0.15,17.57,2,1,292,7,0.1,-0.22,18.43,1,2,293,3,0.0,-0.09,17.16,1,3,293,3,0.07,0.12,16.49,1,7,293,,-0.08,0.03,7.080177950900414E-5
1.999875,47.2021666667,6.9E-5,1372-0004156,,1.999789,47.202203,116,79,1975.6,0,0,0,0,0,2,1,5,..Y,20.05,1,0,192,0,0.0,0.04,18.53,1,1,192,1,0.38,-0.2,18.75,1,2,193,2,-0.19,-0.09,17.91,1,3,241,8,-0.14,0.21,18.06,1,7,241,,-0.07,0.03,6.880494551157783E-5
2.1475,-23.65775,1.84E-4,0663-0001944,,2.14735,-23.657628,188,37,1975.0,-10,12,9,6,1,2,0,5,..Y,18.31,1,0,881,8,0.13,0.03,16.85,1,1,881,7,-0.03,-0.04,16.98,1,4,472,10,-0.26,0.02,16.37,1,6,472,5,-0.04,0.01,16.55,1,8,472,,0.18,-0.04,1.8374187591327804E-4
2.26645833333,6.47263888889,6.9E-5,0964-0001188,,2.26642,6.472581,125,64,1977.5,0,0,0,0,0,2,1,5,..Y,20.46,1,0,525,9,-0.26,-0.02,19.12,1,1,525,3,-0.19,-0.15,19.06,1,2,751,9,0.35,0.06,18.42,1,3,751,8,0.0,0.17,17.77,1,7,751,,0.08,-0.09,6.929570395886844E-5
2.343875,50.5080277778,6.28E-4,1405-0004567,,2.344853,50.507939,72,104,1992.3,16,-54,8,9,12,0,0,3,...,,,,,,,,,,,,,,,19.74,1,2,193,2,-0.03,-0.04,19.35,1,3,193,8,0.03,0.04,17.32,1,7,193,,-0.02,-0.02,6.282832174175526E-4
3.249625,-39.90725,9.5E-5,0500-0001969,,3.249559,-39.90717,93,34,1986.7,0,0,0,0,0,1,0,4,...,,,,,,,,18.88,3,5,293,10,0.15,0.03,18.14,3,4,293,8,-0.18,-0.08,18.05,3,6,294,9,-0.08,0.05,18.52,3,8,294,,0.09,-0.02,9.4673919664952E-5
3.48354166667,-18.9018888889,6.1E-5,0710-0002744,,3.483484,-18.901862,100,109,1974.7,0,0,0,0,0,2,2,5,..Y,15.97,1,0,766,5,-0.21,-0.09,13.49,1,1,766,7,-0.15,-0.17,13.83,1,4,538,9,0.28,0.02,12.24,1,6,539,9,0.08,0.35,13.71,1,8,539,,-0.02,-0.14,6.082332685219662E-5
