# 3FGL               RA             DEC        PD[frac]  AB   AV   AR
3FGLJ0000.1+6545 0.0377000011504 65.751701355 0.12627 5.752 4.349 3.441
3FGLJ0000.2-3738 0.0612000003457 -37.648399353 0.0009 0.041 0.031 0.024
3FGLJ0001.6+3535 0.404300004244 35.5904998779 0.00729 0.332 0.251 0.198
3FGLJ0002.0-6722 0.523999989033 -67.370300293 0.00225 0.103 0.078 0.062
3FGLJ0002.6+6218 0.674499988556 62.3005981445 0.09612 4.380 3.312 2.620
3FGLJ0003.4+3100 0.857599973679 31.0084991455 0.00441 0.199 0.150 0.119
3FGLJ0003.5+5721 0.890299975872 57.3596992493 0.03555 1.621 1.226 0.969
3FGLJ0004.2+6757 1.05509996414 67.9592971802 0.04977 2.268 1.715 1.357
3FGLJ0004.2+0843 1.05739998817 8.72739982605 0.00558 0.255 0.193 0.153
3FGLJ0006.2+0135 1.57179999352 1.58529996872 0.00243 0.113 0.086 0.068
3FGLJ0006.6+4618 1.65120005608 46.3054008484 0.0072 0.330 0.250 0.198
3FGLJ0007.4+1742 1.86930000782 17.7110004425 0.00324 0.148 0.112 0.089
3FGLJ0007.9+4006 1.98290002346 40.1068000793 0.00639 0.288 0.217 0.172
3FGLJ0008.3+1456 2.08809995651 14.9336004257 0.00387 0.177 0.134 0.106
3FGLJ0008.5+6853 2.14089989662 68.8870010376 0.14103 6.425 4.858 3.843
3FGLJ0008.7+6558 2.19129991531 65.9676971436 0.11709 5.336 4.035 3.192
3FGLJ0010.5-1425 2.62890005112 -14.419500351 0.00225 0.102 0.077 0.061
3FGLJ0014.3-0455 3.58579993248 -4.91960000992 0.00225 0.102 0.077 0.061
3FGLJ0016.5+1713 4.13539981842 17.2210006714 0.00522 0.235 0.177 0.140
3FGLJ0017.1+1445 4.2937002182 14.7611999512 0.00333 0.154 0.117 0.092
3FGLJ0020.9+0323 5.2311000824 3.3952999115 0.00189 0.088 0.067 0.053
3FGLJ0022.7+4651 5.68720006943 46.8527984619 0.00702 0.321 0.243 0.192
3FGLJ0026.2-4812 6.55719995499 -48.2100982666 0.00117 0.055 0.042 0.033
