# 3FGL name   RA   DEC
3FGL J0000.2-3738     0.0612000003457 -37.648399353
3FGL J0002.0-6722     0.523999989033 -67.370300293
3FGL J0004.2+0843     1.05739998817 8.72739982605
3FGL J0006.2+0135     1.57179999352 1.58529996872
3FGL J0007.4+1742     1.86930000782 17.7110004425
3FGL J0008.3+1456     2.08809995651 14.9336004257
3FGL J0010.5-1425     2.62890005112 -14.419500351
3FGL J0014.3-0455     3.58579993248 -4.91960000992
3FGL J0016.5+1713     4.13539981842 17.2210006714
3FGL J0017.1+1445     4.2937002182 14.7611999512
3FGL J0020.9+0323     5.2311000824 3.3952999115
3FGL J0026.2-4812     6.55719995499 -48.2100982666
3FGL J0031.2-2320     7.81300020218 -23.3426990509
3FGL J0031.6+0938     7.92250013351 9.64780044556
3FGL J0032.3-5522     8.09389972687 -55.3688011169
3FGL J0048.1-6343     12.0495996475 -63.7318000793
3FGL J0102.1+0943     15.5399999619 9.72799968719
3FGL J0112.9-7506     18.2437992096 -75.1053009033
3FGL J0114.8+1917     18.7098999023 19.2947006226
3FGL J0121.8-3917     20.4573993683 -39.2860984802
3FGL J0132.1-5340     23.0447998047 -53.673500061
3FGL J0133.2-4737     23.3069992065 -47.6198997498
3FGL J0138.5-4612     24.6492996216 -46.2038993835
3FGL J0156.5-2423     29.1280002594 -24.3924999237
3FGL J0158.6+0102     29.6732006073 1.04100000858
3FGL J0200.3-4108     30.0799007416 -41.145198822
3FGL J0203.6+1148     30.9169006348 11.8028001785
3FGL J0216.0+0300     34.0134010315 3.0164000988
3FGL J0216.4+0507     34.1086997986 5.13280010223
3FGL J0224.1-1846     36.0476989746 -18.7816009521
3FGL J0224.4+1615     36.1142997742 16.2632007599
3FGL J0226.7-4747     36.695098877 -47.7836990356
3FGL J0231.0+1302     37.7747001648 13.044500351
3FGL J0232.6+0646     38.1631011963 6.7716999054
3FGL J0234.2-0629     38.564201355 -6.49809980392
3FGL J0239.4+1326     39.8684997559 13.4427995682
3FGL J0240.0-0253     40.0007019043 -2.8993999958
3FGL J0242.1-0534     40.5316009521 -5.56960010529
3FGL J0251.1-1829     42.7971000671 -18.4857006073
3FGL J0258.9+0552     44.7397003174 5.87589979172
3FGL J0308.4-2852     47.1030006409 -28.8733997345
3FGL J0312.1-0921     48.0407981873 -9.35929965973
3FGL J0312.7-2222     48.1757011414 -22.3708992004
3FGL J0318.1+0252     49.5362014771 2.8694999218
3FGL J0322.5-3721     50.6426010132 -37.3583984375
3FGL J0323.7-6038     50.9430007935 -60.6398010254
3FGL J0324.5-1315     51.1467018127 -13.2558002472
3FGL J0330.6+0437     52.6651992798 4.62559986115
3FGL J0333.6+0233     53.4123001099 2.56349992752
3FGL J0340.4-2423     55.1044006348 -24.3871002197
3FGL J0351.0-2816     57.7690010071 -28.2766990662
3FGL J0351.4-3248     57.8536987305 -32.8004989624
3FGL J0401.0-5359     60.2591018677 -53.9863014221
3FGL J0415.7-4351     63.9407997131 -43.8648986816
3FGL J0420.4-6013     65.1197967529 -60.2270011902
3FGL J0420.6-3742     65.1641998291 -37.7149009705
3FGL J0430.1-3103     67.5428009033 -31.0655002594
3FGL J0921.6+2339     140.41569519 23.655500412
3FGL J0930.7+5133     142.687698364 51.5589981079
3FGL J0935.2+0903     143.801193237 9.05179977417
3FGL J0941.0+6151     145.274505615 61.8660011292
3FGL J0946.2+5209     146.574203491 52.1505012512
3FGL J0952.8+0711     148.217193604 7.19910001755
3FGL J1039.5+7324     159.884902954 73.408996582
3FGL J1049.7+1548     162.432601929 15.8069000244
3FGL J1050.4+0435     162.61680603 4.59940004349
3FGL J1051.0+5332     162.763000488 53.5491981506
3FGL J1052.0+0816     163.017593384 8.28100013733
3FGL J1059.3+0224     164.845092773 2.41650009155
3FGL J1103.3+5239     165.837097168 52.662399292
3FGL J1105.7+4427     166.426803589 44.4562988281
3FGL J1112.1+0500     168.034301758 5.00979995728
3FGL J1112.1+1034     168.039001465 10.5735998154
3FGL J1115.0-0701     168.761001587 -7.02759981155
3FGL J1117.7+0217     169.438995361 2.2837998867
3FGL J1120.6+0713     170.17199707 7.22349977493
3FGL J1129.0+3758     172.25289917 37.9715995789
3FGL J1146.1-0640     176.546798706 -6.68300008774
3FGL J1149.1+2815     177.294692993 28.2509994507
3FGL J1151.5+0957     177.884399414 9.96510028839
3FGL J1155.3-1112     178.82699585 -11.2028999329
3FGL J1200.4+0202     180.110702515 2.04180002213
3FGL J1200.9-1432     180.242996216 -14.5394001007
3FGL J1203.9-1745     180.979003906 -17.7616004944
3FGL J1205.9+3315     181.483001709 33.2547988892
3FGL J1209.9+7607     182.477493286 76.12449646
3FGL J1211.8+6413     182.973403931 64.2238006592
3FGL J1215.9-1926     183.992492676 -19.4354000092
3FGL J1216.6-0557     184.160797119 -5.96460008621
3FGL J1220.3+6055     185.091094971 60.9287986755
3FGL J1221.5-0632     185.37789917 -6.55000019073
3FGL J1223.2+1215     185.80430603 12.2617998123
3FGL J1223.3+0818     185.840393066 8.31309986115
3FGL J1225.9+2953     186.495697021 29.8901996613
3FGL J1228.4-0317     187.111297607 -3.29539990425
3FGL J1231.6+4825     187.908294678 48.4179000854
3FGL J1232.3+1701     188.084899902 17.0230007172
3FGL J1232.8+1332     188.218994141 13.5347003937
3FGL J1234.7-0437     188.697402954 -4.62150001526
3FGL J1239.1-1158     189.798599243 -11.9776000977
3FGL J1249.5-0546     192.381500244 -5.77939987183
3FGL J1250.2-0233     192.567703247 -2.56380009651
3FGL J1258.4+2123     194.618301392 21.3859996796
3FGL J1301.5+3333     195.394104004 33.5615005493
3FGL J1304.6+1200     196.171401978 12.0064001083
3FGL J1309.0+0347     197.257904053 3.79089999199
3FGL J1315.7-0732     198.94720459 -7.54850006104
3FGL J1329.1-0536     202.299194336 -5.60809993744
3FGL J1330.4+5641     202.611999512 56.6879997253
3FGL J1345.1+1949     206.299697876 19.8274993896
3FGL J1351.8-1524     207.960205078 -15.4065999985
3FGL J1403.1+1304     210.795593262 13.0796003342
3FGL J1410.9+7406     212.742004395 74.1072998047
3FGL J1411.1+3717     212.795700073 37.2994995117
3FGL J1411.4-0724     212.855102539 -7.4142999649
3FGL J1427.2+1610     216.808395386 16.1739006042
3FGL J1502.2+5553     225.554992676 55.8861999512
3FGL J1506.4-0340     226.621994019 -3.66840004921
3FGL J1512.3+6622     228.087203979 66.3728027344
3FGL J1517.0+2637     229.25340271 26.6305007935
3FGL J1529.5+6733     232.399398804 67.5591964722
3FGL J1541.6+1414     235.402603149 14.234000206
3FGL J1548.4+1455     237.109695435 14.9256000519
3FGL J1550.4+6027     237.623306274 60.4618988037
