# 3FGL               RA             DEC        PD[frac]  AB   AV   AR
3FGLJ0000.2-3738 0.0612000003457 -37.648399353 0.0009 0.041 0.031 0.024
3FGLJ0002.0-6722 0.523999989033 -67.370300293 0.00225 0.103 0.078 0.062
3FGLJ0004.2+0843 1.05739998817 8.72739982605 0.00558 0.255 0.193 0.153
3FGLJ0006.2+0135 1.57179999352 1.58529996872 0.00243 0.113 0.086 0.068
3FGLJ0007.4+1742 1.86930000782 17.7110004425 0.00324 0.148 0.112 0.089
3FGLJ0008.3+1456 2.08809995651 14.9336004257 0.00387 0.177 0.134 0.106
3FGLJ0010.5-1425 2.62890005112 -14.419500351 0.00225 0.102 0.077 0.061
3FGLJ0014.3-0455 3.58579993248 -4.91960000992 0.00225 0.102 0.077 0.061
3FGLJ0016.5+1713 4.13539981842 17.2210006714 0.00522 0.235 0.177 0.140
3FGLJ0017.1+1445 4.2937002182 14.7611999512 0.00333 0.154 0.117 0.092
3FGLJ0020.9+0323 5.2311000824 3.3952999115 0.00189 0.088 0.067 0.053
3FGLJ0026.2-4812 6.55719995499 -48.2100982666 0.00117 0.055 0.042 0.033
3FGLJ0031.2-2320 7.81300020218 -23.3426990509 0.00126 0.060 0.046 0.036
3FGLJ0031.6+0938 7.92250013351 9.64780044556 0.00459 0.209 0.158 0.125
3FGLJ0032.3-5522 8.09389972687 -55.3688011169 0.00108 0.051 0.039 0.031
3FGLJ0048.1-6343 12.0495996475 -63.7318000793 0.00144 0.068 0.052 0.041
3FGLJ0102.1+0943 15.5399999619 9.72799968719 0.00279 0.129 0.098 0.077
3FGLJ0112.9-7506 18.2437992096 -75.1053009033 0.00432 0.194 0.146 0.116
3FGLJ0114.8+1917 18.7098999023 19.2947006226 0.00387 0.175 0.132 0.105
3FGLJ0121.8-3917 20.4573993683 -39.2860984802 0.00171 0.077 0.058 0.046
3FGLJ0132.1-5340 23.0447998047 -53.673500061 0.0018 0.084 0.064 0.051
3FGLJ0133.2-4737 23.3069992065 -47.6198997498 0.00081 0.039 0.030 0.024
3FGLJ0138.5-4612 24.6492996216 -46.2038993835 0.00144 0.064 0.048 0.038
3FGLJ0156.5-2423 29.1280002594 -24.3924999237 0.00117 0.052 0.039 0.031
3FGLJ0158.6+0102 29.6732006073 1.04100000858 0.00207 0.092 0.069 0.055
3FGLJ0200.3-4108 30.0799007416 -41.145198822 0.00135 0.062 0.047 0.037
3FGLJ0203.6+1148 30.9169006348 11.8028001785 0.01125 0.511 0.386 0.305
3FGLJ0216.0+0300 34.0134010315 3.0164000988 0.00315 0.143 0.108 0.086
3FGLJ0216.4+0507 34.1086997986 5.13280010223 0.00342 0.156 0.118 0.093
3FGLJ0224.1-1846 36.0476989746 -18.7816009521 0.00252 0.115 0.087 0.069
3FGLJ0224.4+1615 36.1142997742 16.2632007599 0.01782 0.813 0.615 0.486
3FGLJ0226.7-4747 36.695098877 -47.7836990356 0.00126 0.059 0.045 0.035
3FGLJ0231.0+1302 37.7747001648 13.044500351 0.00954 0.436 0.330 0.261
3FGLJ0232.6+0646 38.1631011963 6.7716999054 0.00612 0.280 0.212 0.168
3FGLJ0234.2-0629 38.564201355 -6.49809980392 0.00207 0.095 0.072 0.057
3FGLJ0239.4+1326 39.8684997559 13.4427995682 0.00927 0.420 0.317 0.251
3FGLJ0240.0-0253 40.0007019043 -2.8993999958 0.00207 0.094 0.071 0.056
3FGLJ0242.1-0534 40.5316009521 -5.56960010529 0.00306 0.137 0.103 0.082
3FGLJ0251.1-1829 42.7971000671 -18.4857006073 0.00216 0.100 0.076 0.060
3FGLJ0258.9+0552 44.7397003174 5.87589979172 0.01089 0.497 0.376 0.297
3FGLJ0308.4-2852 47.1030006409 -28.8733997345 0.00117 0.055 0.042 0.033
3FGLJ0312.1-0921 48.0407981873 -9.35929965973 0.00801 0.365 0.276 0.219
3FGLJ0312.7-2222 48.1757011414 -22.3708992004 0.00153 0.069 0.052 0.041
3FGLJ0318.1+0252 49.5362014771 2.8694999218 0.00981 0.446 0.337 0.267
3FGLJ0322.5-3721 50.6426010132 -37.3583984375 0.00153 0.072 0.055 0.043
3FGLJ0323.7-6038 50.9430007935 -60.6398010254 0.00342 0.158 0.120 0.095
3FGLJ0324.5-1315 51.1467018127 -13.2558002472 0.00675 0.309 0.234 0.185
3FGLJ0330.6+0437 52.6651992798 4.62559986115 0.01863 0.850 0.643 0.508
3FGLJ0333.6+0233 53.4123001099 2.56349992752 0.00693 0.314 0.237 0.188
3FGLJ0340.4-2423 55.1044006348 -24.3871002197 0.00117 0.055 0.042 0.033
3FGLJ0351.0-2816 57.7690010071 -28.2766990662 0.00063 0.031 0.024 0.019
3FGLJ0351.4-3248 57.8536987305 -32.8004989624 0.00072 0.033 0.025 0.020
3FGLJ0401.0-5359 60.2591018677 -53.9863014221 0.00153 0.068 0.051 0.041
3FGLJ0415.7-4351 63.9407997131 -43.8648986816 0.00135 0.062 0.047 0.037
3FGLJ0420.4-6013 65.1197967529 -60.2270011902 0.00135 0.061 0.046 0.037
3FGLJ0420.6-3742 65.1641998291 -37.7149009705 0.00189 0.085 0.064 0.051
3FGLJ0430.1-3103 67.5428009033 -31.0655002594 0.00216 0.098 0.074 0.058
3FGLJ0921.6+2339 140.41569519 23.655500412 0.00261 0.121 0.092 0.073
3FGLJ0930.7+5133 142.687698364 51.5589981079 0.00135 0.063 0.048 0.038
3FGLJ0935.2+0903 143.801193237 9.05179977417 0.00315 0.145 0.110 0.087
3FGLJ0941.0+6151 145.274505615 61.8660011292 0.0027 0.123 0.093 0.073
3FGLJ0946.2+5209 146.574203491 52.1505012512 0.00063 0.030 0.023 0.018
3FGLJ0952.8+0711 148.217193604 7.19910001755 0.00333 0.150 0.113 0.090
3FGLJ1039.5+7324 159.884902954 73.408996582 0.01647 0.752 0.569 0.450
3FGLJ1049.7+1548 162.432601929 15.8069000244 0.00207 0.092 0.069 0.055
3FGLJ1050.4+0435 162.61680603 4.59940004349 0.00261 0.118 0.089 0.070
3FGLJ1051.0+5332 162.763000488 53.5491981506 0.00108 0.048 0.036 0.029
3FGLJ1052.0+0816 163.017593384 8.28100013733 0.00198 0.088 0.066 0.052
3FGLJ1059.3+0224 164.845092773 2.41650009155 0.00306 0.140 0.106 0.084
3FGLJ1103.3+5239 165.837097168 52.662399292 0.0009 0.041 0.031 0.025
3FGLJ1105.7+4427 166.426803589 44.4562988281 0.00099 0.046 0.035 0.028
3FGLJ1112.1+0500 168.034301758 5.00979995728 0.00594 0.273 0.207 0.163
3FGLJ1112.1+1034 168.039001465 10.5735998154 0.00171 0.077 0.058 0.046
3FGLJ1115.0-0701 168.761001587 -7.02759981155 0.00288 0.131 0.099 0.078
3FGLJ1117.7+0217 169.438995361 2.2837998867 0.00423 0.192 0.145 0.115
3FGLJ1120.6+0713 170.17199707 7.22349977493 0.00441 0.200 0.151 0.119
3FGLJ1129.0+3758 172.25289917 37.9715995789 0.00153 0.069 0.052 0.041
3FGLJ1146.1-0640 176.546798706 -6.68300008774 0.0027 0.123 0.093 0.074
3FGLJ1149.1+2815 177.294692993 28.2509994507 0.00207 0.095 0.072 0.057
3FGLJ1151.5+0957 177.884399414 9.96510028839 0.00216 0.098 0.074 0.059
3FGLJ1155.3-1112 178.82699585 -11.2028999329 0.00279 0.130 0.099 0.078
3FGLJ1200.4+0202 180.110702515 2.04180002213 0.00189 0.085 0.064 0.051
3FGLJ1200.9-1432 180.242996216 -14.5394001007 0.00423 0.192 0.145 0.115
3FGLJ1203.9-1745 180.979003906 -17.7616004944 0.00531 0.245 0.186 0.147
3FGLJ1205.9+3315 181.483001709 33.2547988892 0.00162 0.072 0.054 0.043
3FGLJ1209.9+7607 182.477493286 76.12449646 0.00513 0.234 0.177 0.140
3FGLJ1211.8+6413 182.973403931 64.2238006592 0.00144 0.068 0.052 0.041
3FGLJ1215.9-1926 183.992492676 -19.4354000092 0.00378 0.173 0.131 0.104
3FGLJ1216.6-0557 184.160797119 -5.96460008621 0.00459 0.211 0.160 0.126
3FGLJ1220.3+6055 185.091094971 60.9287986755 0.00135 0.063 0.048 0.038
3FGLJ1221.5-0632 185.37789917 -6.55000019073 0.00198 0.093 0.071 0.056
3FGLJ1223.2+1215 185.80430603 12.2617998123 0.00243 0.112 0.085 0.067
3FGLJ1223.3+0818 185.840393066 8.31309986115 0.0018 0.082 0.062 0.049
3FGLJ1225.9+2953 186.495697021 29.8901996613 0.00153 0.069 0.052 0.041
3FGLJ1228.4-0317 187.111297607 -3.29539990425 0.00279 0.128 0.097 0.077
3FGLJ1231.6+4825 187.908294678 48.4179000854 0.00108 0.051 0.039 0.031
3FGLJ1232.3+1701 188.084899902 17.0230007172 0.00216 0.097 0.073 0.058
3FGLJ1232.8+1332 188.218994141 13.5347003937 0.00261 0.120 0.091 0.072
3FGLJ1234.7-0437 188.697402954 -4.62150001526 0.00297 0.136 0.103 0.082
3FGLJ1239.1-1158 189.798599243 -11.9776000977 0.00387 0.175 0.132 0.105
3FGLJ1249.5-0546 192.381500244 -5.77939987183 0.00225 0.102 0.077 0.061
3FGLJ1250.2-0233 192.567703247 -2.56380009651 0.00216 0.097 0.073 0.058
3FGLJ1258.4+2123 194.618301392 21.3859996796 0.00315 0.142 0.107 0.085
3FGLJ1301.5+3333 195.394104004 33.5615005493 0.00099 0.042 0.031 0.025
3FGLJ1304.6+1200 196.171401978 12.0064001083 0.00234 0.108 0.082 0.065
3FGLJ1309.0+0347 197.257904053 3.79089999199 0.00234 0.108 0.082 0.065
3FGLJ1315.7-0732 198.94720459 -7.54850006104 0.00324 0.147 0.111 0.088
3FGLJ1329.1-0536 202.299194336 -5.60809993744 0.00252 0.114 0.086 0.068
3FGLJ1330.4+5641 202.611999512 56.6879997253 0.00063 0.028 0.021 0.017
3FGLJ1345.1+1949 206.299697876 19.8274993896 0.00207 0.095 0.072 0.057
3FGLJ1351.8-1524 207.960205078 -15.4065999985 0.00612 0.282 0.214 0.169
3FGLJ1403.1+1304 210.795593262 13.0796003342 0.0018 0.084 0.064 0.050
3FGLJ1410.9+7406 212.742004395 74.1072998047 0.00207 0.095 0.072 0.057
3FGLJ1411.1+3717 212.795700073 37.2994995117 0.00045 0.021 0.016 0.013
3FGLJ1411.4-0724 212.855102539 -7.4142999649 0.00225 0.105 0.080 0.063
3FGLJ1427.2+1610 216.808395386 16.1739006042 0.00261 0.117 0.088 0.070
3FGLJ1502.2+5553 225.554992676 55.8861999512 0.00099 0.043 0.032 0.026
3FGLJ1506.4-0340 226.621994019 -3.66840004921 0.01296 0.589 0.445 0.352
3FGLJ1512.3+6622 228.087203979 66.3728027344 0.0018 0.080 0.060 0.048
3FGLJ1517.0+2637 229.25340271 26.6305007935 0.0027 0.125 0.095 0.075
3FGLJ1529.5+6733 232.399398804 67.5591964722 0.00243 0.108 0.081 0.064
3FGLJ1541.6+1414 235.402603149 14.234000206 0.00378 0.173 0.131 0.104
3FGLJ1548.4+1455 237.109695435 14.9256000519 0.00342 0.154 0.116 0.092
3FGLJ1550.4+6027 237.623306274 60.4618988037 0.00081 0.040 0.031 0.024
3FGLJ1553.1+5437 238.291900635 54.6241989136 0.00081 0.037 0.028 0.022
3FGLJ1601.9+2306 240.488998413 23.1107997894 0.00423 0.194 0.147 0.116
3FGLJ1611.9+1404 242.980804443 14.0790996552 0.00387 0.177 0.134 0.106
3FGLJ1616.8+5846 244.216003418 58.783000946 0.00081 0.040 0.031 0.024
3FGLJ1618.8+5520 244.704299927 55.345500946 0.0009 0.042 0.032 0.025
3FGLJ1627.8+3217 246.968093872 32.2988014221 0.00189 0.085 0.064 0.051
3FGLJ1632.8+3838 248.202392578 38.6477012634 0.00054 0.027 0.021 0.016
3FGLJ1635.3+4257 248.84979248 42.9645004272 0.00081 0.038 0.029 0.023
3FGLJ1648.0+4230 252.018096924 42.5102005005 0.00126 0.060 0.046 0.036
3FGLJ2054.8-4908 313.724914551 -49.135799408 0.00279 0.129 0.098 0.077
3FGLJ2112.5-3044 318.144714355 -30.7343997955 0.00873 0.397 0.300 0.238
3FGLJ2127.1-5615 321.784301758 -56.2552986145 0.00558 0.255 0.193 0.153
3FGLJ2127.5-6001 321.892700195 -60.0312995911 0.00252 0.117 0.089 0.070
3FGLJ2130.4-4237 322.614807129 -42.6315002441 0.00225 0.100 0.075 0.060
