#  Ignore the first 4 columns because those are p and m from data directly and from an optimizer without an error. The relevant columns are 
#  p_o,sigma_p_low,sigma_p_high,plimit,m,sigma_m_low,sigma_m_high,mlimit
#sourcename data_p data_m opt_p opt_m p_o sigma_p_low sigma_p_high plimit m sigma_m_low sigma_m_high mlimit Nobs
RBPLJ0006-0623 0.2252 0.4187289 0.2227144 0.4489742 0.223 0.032 0.035 NA 0.449 0.091 0.127 NA 11 
RBPLJ0017+8135 0.008281818 0.5877715 NA NA NA NA NA NA NA NA NA NA 11 
RBPLJ0035+5950 0.03354 0.3002061 0.03059744 0.00214825 0.031 0.005 0.004 NA 0.003 NA NA 0.642 5 
RBPLJ0045+2127 0.07379565 0.304935 0.07412593 0.287594 0.074 0.004 0.004 NA 0.288 0.048 0.059 NA 23 
RBPLJ0102+5824 0.1758687 0.842268 0.1588238 0.5199534 0.159 0.022 0.028 NA 0.52 0.11 0.133 NA 16 
RBPLJ0114+1325 0.070045 0.4940089 0.06945475 0.4521615 0.069 0.006 0.008 NA 0.453 0.068 0.084 NA 20 
RBPLJ0136+3905 0.02715 0.4717378 0.02567715 0.3769877 0.026 0.008 0.01 NA 0.376 NA NA 1.363 4 
RBPLJ0136+4751 0.1144708 0.4855574 0.1146454 0.5011073 0.115 0.012 0.012 NA 0.501 0.074 0.093 NA 24 
RBPLJ0152+0146 0.06428 1.105168 0.06182201 1.046596 0.062 0.03 0.068 NA 1.046 0.293 0.469 NA 5 
RBPLJ0211+1051 0.231832 0.2863427 0.2312845 0.300053 0.231 0.013 0.014 NA 0.3 0.038 0.048 NA 25 
RBPLJ0217+0837 0.05952917 0.6246366 0.05796753 0.5332041 0.058 0.006 0.007 NA 0.533 0.075 0.095 NA 24 
RBPLJ0221+3556 0.0952 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ0222+4302 0.0786 0.3625449 0.07844119 0.3770051 0.078 0.005 0.006 NA 0.377 0.051 0.064 NA 24 
RBPLJ0232+2017 0.0342 0.2612177 0.03265591 0.004358457 0.033 0.004 0.003 NA 0.006 NA NA 0.581 5 
RBPLJ0238+1636 0.1172105 0.5344998 0.1151349 0.4959999 0.115 0.014 0.016 NA 0.496 0.085 0.111 NA 19 
RBPLJ0259+0747 0.15162 0.5264925 0.1478338 0.5402133 0.148 0.021 0.024 NA 0.54 0.089 0.116 NA 15 
RBPLJ0303+4716 0.06633846 0.5831524 0.06525736 0.5542502 0.065 0.01 0.013 NA 0.555 0.106 0.142 NA 13 
RBPLJ0303-2407 0.07363333 0.1451347 0.07305082 0.1097488 0.073 0.005 0.005 NA 0.11 NA NA 0.292 6 
RBPLJ0316+4119 0.0276 0.4055625 NA NA NA NA NA NA NA NA NA NA 5 
RBPLJ0319+1845 0.039875 0.2273192 0.03743738 0.002495074 0.037 0.006 0.007 NA 0.004 NA NA 0.732 4 
RBPLJ0319+4130 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ0324+3410 0.01166522 0.5132288 0.00957791 0.540941 0.01 0.002 0.001 NA 0.52 NA NA 1.256 23 
RBPLJ0336+3118 0.0371 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ0336+3218 0.01155 0.2885469 NA NA NA NA NA NA NA NA NA NA 6 
