#JD   w1   w1err   w2  w2err 
55223.17226120 14.327 0.062 14.138 0.172
55223.30456540 14.447 0.075 14.210 0.190
55223.43699710 14.499 0.078 14.610 0.290
55223.50308560 14.305 0.067 14.348 0.188
55223.56930140 14.482 0.073 13.993 0.145
55223.63538980 14.429 0.074 14.120 0.154
55223.76782150 14.391 0.068 14.085 0.179
55223.90012580 14.540 0.087 13.793 0.135
55412.60416750 14.399 0.078 nan nan
55412.73647130 14.269 0.442 nan nan
55412.86877520 14.399 0.068 nan nan
55413.00107910 14.501 0.074 nan nan
55413.06729460 14.415 0.068 14.033 0.144
55413.13338280 14.397 0.077 13.906 0.138
55413.19959840 14.439 0.075 14.029 0.140
55413.26568660 14.608 0.083 14.107 0.142
55413.33190220 14.369 0.066 14.068 0.160
55413.46407870 14.583 0.083 14.151 0.146
55413.46420600 14.431 0.069 14.117 0.151
55413.59638600 14.626 0.087 14.154 0.167
55413.72868980 14.285 0.064 13.887 0.119
55587.37125440 14.517 0.076 14.496 0.214
55587.50355860 14.464 0.076 13.955 0.137
55587.63573560 14.419 0.067 14.196 0.165
55587.76803990 14.519 0.078 14.161 0.187
55587.83412840 14.362 0.067 14.155 0.202
55587.90021690 14.512 0.086 14.189 0.164
55587.90034420 14.425 0.072 14.101 0.149
55587.96643270 14.412 0.071 14.228 0.210
55588.09860960 14.490 0.102 14.145 0.158
55588.23091390 14.458 0.070 14.772 0.307
55588.36321820 14.609 0.086 13.954 0.171
