#MasterID Mag Magerr RA Dec MJD Blend
1123012062523 17.43 0.10 35.38891 25.21318 53712.16093 0
1123012062523 17.51 0.10 35.38884 25.21328 53712.16809 0
1123012062523 17.48 0.10 35.38875 25.21325 53712.17533 0
1123012062523 17.32 0.09 35.38890 25.21339 53712.18255 0
1123012062523 17.53 0.11 35.38881 25.21328 53727.13690 0
1123012062523 17.39 0.10 35.38878 25.21325 53727.14335 0
1123012062523 17.40 0.10 35.38887 25.21330 53727.14978 0
1123012062523 17.48 0.11 35.38881 25.21329 53727.15622 0
1123012062523 17.48 0.10 35.38870 25.21326 53733.14402 0
1123012062523 17.34 0.09 35.38883 25.21317 53733.15040 0
1123012062523 17.34 0.09 35.38872 25.21326 53733.15691 0
1123012062523 17.41 0.09 35.38879 25.21323 53733.16338 0
1123012062523 17.32 0.13 35.38868 25.21333 53682.19085 0
1123012062523 17.42 0.09 35.38873 25.21320 53699.25336 0
1123012062523 17.35 0.09 35.38883 25.21323 53699.26082 0
1123012062523 17.44 0.10 35.38882 25.21328 53699.26817 0
1123012062523 17.41 0.10 35.38882 25.21321 53699.27559 0
1123012062523 17.39 0.09 35.38874 25.21333 53672.32085 0
1123012062523 17.37 0.09 35.38881 25.21322 53672.32840 0
1123012062523 17.44 0.10 35.38877 25.21327 53672.33599 0
1123012062523 17.40 0.09 35.38874 25.21335 53672.34341 0
1123012062523 17.39 0.10 35.38887 25.21322 53637.40725 0
1123012062523 17.40 0.10 35.38878 25.21332 53637.41537 0
1123012062523 17.38 0.10 35.38890 25.21324 53637.42350 0
1123012062523 17.44 0.10 35.38874 25.21322 53637.43160 0
1123012062523 17.39 0.10 35.38875 25.21318 53643.36889 0
1123012062523 17.38 0.10 35.38872 25.21321 53643.37821 0
1123012062523 17.41 0.10 35.38877 25.21312 53643.38754 0
1123012062523 17.38 0.10 35.38880 25.21320 53643.39680 0
1123012062523 17.48 0.10 35.38877 25.21329 53740.09990 0
1123012062523 17.45 0.09 35.38882 25.21327 53740.10630 0
1123012062523 17.38 0.09 35.38885 25.21322 53740.11267 0
1123012062523 17.43 0.09 35.38886 25.21322 53740.11904 0
1123012062523 17.39 0.09 35.38888 25.21323 53756.13233 0
1123012062523 17.45 0.10 35.38882 25.21325 53756.13882 0
1123012062523 17.42 0.10 35.38881 25.21323 53756.14530 0
1123012062523 17.46 0.10 35.38877 25.21327 53756.15174 0
1123012062523 17.38 0.09 35.38884 25.21317 53762.09617 0
1123012062523 17.45 0.10 35.38883 25.21316 53762.10256 0
1123012062523 17.47 0.10 35.38870 25.21315 53762.10893 0
1123012062523 17.47 0.10 35.38889 25.21313 53762.11534 0
1123012062523 17.40 0.09 35.38880 25.21319 54054.21650 0
1123012062523 17.41 0.09 35.38886 25.21331 54054.22306 0
1123012062523 17.37 0.09 35.38879 25.21330 54054.22962 0
1123012062523 17.32 0.09 35.38883 25.21330 54054.23619 0
1123012062523 17.43 0.09 35.38881 25.21320 54061.25317 0
1123012062523 17.45 0.09 35.38878 25.21325 54061.26479 0
1123012062523 17.32 0.09 35.38879 25.21323 54061.27643 0
1123012062523 17.51 0.09 35.38882 25.21323 54061.28809 0
1123012062523 17.41 0.09 35.38887 25.21335 54027.30193 0
1123012062523 17.38 0.09 35.38888 25.21329 54027.31212 0
1123012062523 17.38 0.09 35.38865 25.21318 54027.32232 0
1123012062523 17.47 0.09 35.38876 25.21322 54027.33250 0
1123012062523 17.37 0.09 35.38882 25.21323 54035.29038 0
1123012062523 17.43 0.09 35.38878 25.21319 54035.29761 0
1123012062523 17.34 0.09 35.38896 25.21322 54035.30484 0
1123012062523 17.36 0.09 35.38886 25.21320 54035.31204 0
1123012062523 17.23 0.09 35.38889 25.21335 53995.37444 0
1123012062523 17.38 0.09 35.38883 25.21325 53995.38414 0
1123012062523 17.33 0.09 35.38883 25.21316 53995.39385 0
1123012062523 17.43 0.09 35.38883 25.21323 53995.40358 0
1123012062523 17.37 0.09 35.38882 25.21335 54006.37124 0
1123012062523 17.41 0.09 35.38877 25.21327 54006.37770 0
1123012062523 17.41 0.09 35.38884 25.21323 54006.38412 0
1123012062523 17.46 0.09 35.38870 25.21319 54006.39064 0
1123012062523 17.46 0.09 35.38874 25.21325 54450.19750 0
1123012062523 17.41 0.09 35.38886 25.21324 54450.20407 0
1123012062523 17.42 0.09 35.38885 25.21332 54450.21063 0
1123012062523 17.42 0.09 35.38884 25.21331 54450.21725 0
1123012062523 17.46 0.10 35.38869 25.21309 54140.08988 0
1123012062523 17.44 0.09 35.38881 25.21320 54140.09630 0
