#_RAJ2000,_DEJ2000,DE2000,RA2000,HD,Pol,e_Pol,PA,e_PA,GLON,GLAT,PolRefs
134.17451,-85.6632,-85 39 47.5,08 56 41.885,79837.0,0.04,0.035,107.3,23.6,298.8505,-24.8156,0000000000001000000000
24.36575,-84.7696,-84 46 10.6,01 37 27.779,11025.0,0.03,0.035,48.0,30.3,301.6999,-32.2481,0000000000001000000000
323.47696,-82.683,-82 40 58.8,21 33 54.472,203532.0,1.29,0.035,129.1,0.8,309.459,-31.7396,0000000000001000000000
74.71245,-82.4705,-82 28 13.8,04 58 50.988,34172.0,0.14,0.035,145.0,7.1,295.2281,-30.4686,0000000000001000000000
157.96564,-81.9211,-81 55 16.0,10 31 51.751,92029.0,0.55,0.035,142.8,1.8,298.0108,-20.4182,0000000000001000000000
161.4464,-80.5402,-80 32 24.7,10 45 47.135,93845.0,0.08,0.035,68.1,12.3,297.7351,-18.9624,0000000000001000000000
215.59665,-80.1089,-80 06 32.0,14 22 23.196,124771.0,0.67,0.035,111.6,1.5,306.9338,-17.9513,0000000000001000000000
160.4649,-79.7833,-79 46 59.9,10 41 51.576,93237.0,0.74,0.035,137.2,1.4,297.1847,-18.3887,0000000000001000000000
37.91716,-79.1092,-79 06 33.1,02 31 40.120,16522.0,0.012,0.008,152.7,18.4,297.1907,-36.8768,0000000100000000000000
83.90055,-78.8208,-78 49 14.9,05 35 36.132,38602.0,0.34,0.035,150.3,2.9,290.6802,-30.2246,0000000000001000000000
338.85983,-78.7715,-78 46 17.4,22 35 26.362,213402.0,0.13,0.035,146.9,7.7,310.6889,-36.2229,0000000000001000000000
234.82758,-77.9176,-77 55 03.4,15 39 18.619,138289.0,0.16,0.035,68.5,6.2,311.3905,-17.901,0000000000001000000000
179.6473,-77.8253,-77 49 31.1,11 58 35.353,104036.0,0.009,0.004,90.7,11.0,300.0683,-15.2485,0010000000000000000000
16.38036,-77.5846,-77 35 04.6,01 05 31.286,6783.0,0.35,0.035,112.0,2.9,301.9512,-39.5168,0000000000001000000000
6.41334,-77.255,-77 15 18.0,00 25 39.202,2151.0,0.05,0.035,145.9,19.3,304.7788,-39.7806,0000000000001000000000
175.38548,-77.0546,-77 03 16.6,11 41 32.514,101727.0,0.015,0.026,140.3,41.8,298.9437,-14.7273,0010000000000000000000
71.52831,-77.022,-77 01 19.2,04 46 06.794,31378.0,0.038,0.024,94.5,17.5,289.6716,-33.2481,0000000000100000000000
